sample_fasta	accession_no	fasta_source
Alberta_EC20090641_SRR1183981	SRR1183981	EnteroBase_assembly
Alberta_EC20111515_GCF_000624315	GCF_000624315	NCBI_RefSeq
Alberta_EC20120677_GCF_000625755	GCF_000625755	NCBI_RefSeq
Alberta_EC20111514_GCF_000624295	GCF_000624295	NCBI_RefSeq
Alberta_EC20090698_SRR1183982	SRR1183982	EnteroBase_assembly
British_Columbia_EC20120765_GCF_000624995	GCF_000624995	NCBI_RefSeq
British_Columbia_EC20111554_GCF_000624335	GCF_000624335	NCBI_RefSeq
British_Columbia_EC20111510_GCF_000626555	GCF_000626555	NCBI_RefSeq
British_Columbia_EC20120686_GCF_000625555	GCF_000625555	NCBI_RefSeq
British_Columbia_EC20120685_GCF_000625535	GCF_000625535	NCBI_RefSeq
New_Brunswick_N13-02934_SRR5241846	SRR5241846	EnteroBase_assembly
New_Brunswick_N13-02944_SRR5241820	SRR5241820	EnteroBase_assembly
New_Brunswick_N13-02946_SRR5241852	SRR5241852	EnteroBase_assembly
Nova_Scotia_EC20120590_GCF_000625495	GCF_000625495	NCBI_RefSeq
Ontario_EC20120916_GCF_000624155	GCF_000624155	NCBI_RefSeq
Ontario_EC20090332_SRR1183990	SRR1183990	EnteroBase_assembly
Ontario_EC20090193_SRR1183988	SRR1183988	EnteroBase_assembly
Ontario_EC20100130_SRR1183993	SRR1183993	EnteroBase_assembly
Ontario_EC20090135_SRR1183989	SRR1183989	EnteroBase_assembly
Quebec_N13-01312_SRR5239201	SRR5239201	EnteroBase_assembly
Quebec_N13-01311_SRR5239213	SRR5239213	EnteroBase_assembly
Quebec_N13-01348_SRR5241832	SRR5241832	EnteroBase_assembly
Quebec_N13-01330_SRR5241836	SRR5241836	EnteroBase_assembly
Quebec_N13-01323_SRR5241839	SRR5241839	EnteroBase_assembly
